University,Course,CourseLink,Logo
NTU,Accountancy,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofAccountancy/Pages/Home.aspx,NTU.png
NTU,Accountancy with Second Major in Entrepreneurship,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofAccountancy/Pages/Home.aspx#acc2ndmajor,NTU.png
NTU,Accountancy with a Minor in Digitalisation and Data Analytics,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofAccountancy/Pages/Home.aspx#dda,NTU.png
NTU,Accountancy with a Minor in International Trading,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofAccountancy/Pages/Home.aspx#ACCITP,NTU.png
NTU,Accountancy with a Minor in Strategic Communication,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofAccountancy/Pages/Home.aspx#ACCSC,NTU.png
NTU,Business,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofBusiness/Pages/Home.aspx,NTU.png
NTU,Bachelor of Business with Second Major in Entrepreneurship,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofBusiness/Pages/Home.aspx,NTU.png
NTU,Business with a Minor in International Trading,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofBusiness/Pages/Home.aspx,NTU.png
NTU,Business with a Minor in Strategic Communication,https://nbs.ntu.edu.sg/Programmes/Undergraduate/BachelorofBusiness/Pages/Home.aspx,NTU.png
NTU,Maritime Studies #,http://www.cee.ntu.edu.sg/Programmes/undergraduate/MS/Pages/Home.aspx,NTU.png
NTU,Maritime Studies with a Second Major in Business #,http://www.cee.ntu.edu.sg/Programmes/undergraduate/MS/Pages/Home.aspx,NTU.png
NTU,Design Art,http://www.adm.ntu.edu.sg/Programmes/Undergraduate/Pages/Home.aspx,NTU.png
NTU,Media Art,http://www.adm.ntu.edu.sg/Programmes/Undergraduate/Pages/Home.aspx,NTU.png
NTU,Communication Studies,http://www.wkwsci.ntu.edu.sg/programmes/CurrentStudents/Undergraduate/Pages/Undergraduate.aspx,NTU.png
NTU,Communication Studies with a Second Major in Business,http://www.wkwsci.ntu.edu.sg/programmes/CurrentStudents/Undergraduate/Pages/Undergraduate.aspx,NTU.png
NTU,Arts (Education),https://nie.edu.sg/teacher-education/undergraduate-programmes,NTU.png
NTU,Science (Education),https://nie.edu.sg/teacher-education/undergraduate-programmes,NTU.png
NTU,Aerospace Engineering ^,http://mae.ntu.edu.sg/Pages/default.aspx,NTU.png
NTU,Aerospace Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Aerospace Engineering with a Second Major in Entrepreneurship ,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Bioengineering ^,http://www.scbe.ntu.edu.sg/Programmes/ProspectiveStudents/Bachelor%20of%20Bioengineering/Pages/BIE%20Programme.aspx,NTU.png
NTU,Bioengineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Bioengineering with a Second Major in Entrepreneurship ,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Bioengineering with a Second Major in Food Science and Technology ,https://www.ntu.edu.sg/Pages/PageNotFoundError.aspx?requestUrl=https://www.ntu.edu.sg/fst/Pages/fstp.aspx,NTU.png
NTU,Bioengineering with a Second Major in Pharmaceutical Engineering ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EngPE.aspx,NTU.png
NTU,Chemical & Biomolecular Engineering ^,http://www.scbe.ntu.edu.sg/Programmes/ProspectiveStudents/Bachelor%20Of%20Chemical%20and%20Biomolecular%20Engineering/Pages/CBE_Programme.aspx,NTU.png
NTU,Chemical & Biomolecular Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Chemical and Biomolecular Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Chemical & Biomolecular Engineering with a Second Major in Food Science and Technology ,https://www.ntu.edu.sg/Pages/PageNotFoundError.aspx?requestUrl=https://www.ntu.edu.sg/fst/Pages/fstp.aspx,NTU.png
NTU,Civil Engineering^,http://www.cee.ntu.edu.sg/Programmes/undergraduate/CEE/Pages/Home.aspx,NTU.png
NTU,Civil Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Civil Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Civil Engineering with a Second Major in Society & Urban Systems ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SUS.aspx,NTU.png
NTU,Computer Engineering ^,https://scse.ntu.edu.sg/Programmes/CurrentStudents/Undergraduate/Pages/CE.aspx,NTU.png
NTU,Computer Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Computer Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Computer Science ^ ,https://scse.ntu.edu.sg/Programmes/CurrentStudents/Undergraduate/Pages/CS.aspx,NTU.png
NTU,Computer Science with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Computer Science and with Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Data Science and Artificial Intelligence ,http://scse.ntu.edu.sg/Programmes/CurrentStudents/Undergraduate/Pages/DSAI.aspx,NTU.png
NTU,Electrical & Electronic Engineering ^,http://www.eee.ntu.edu.sg/Programmes/ProspectiveStudents/UG/Pages/Home.aspx,NTU.png
NTU,Electrical & Electronic Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Electrical and Electronic Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Electrical & Electronic Engineering with a Second Major in Society & Urban Systems ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SUS.aspx,NTU.png
NTU,Engineering*^,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Current/CommEng/Pages/Home.aspx,NTU.png
NTU,Environmental Engineering ^ ,http://www.cee.ntu.edu.sg/Programmes/undergraduate/ENE/Pages/Home.aspx,NTU.png
NTU,Environmental Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Environmental Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Environmental Engineering with a Second Major in Society & Urban Systems ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SUS.aspx,NTU.png
NTU,Information Engineering and Media ^,http://www.eee.ntu.edu.sg/Programmes/ProspectiveStudents/UG/IEM/Pages/Home.aspx,NTU.png
NTU,Information Engineering and Media with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Information Engineering and Media with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Materials Engineering ^,http://www.mse.ntu.edu.sg/Programmes/Undergraduates/ProspectiveStudents/Pages/Home.aspx,NTU.png
NTU,Materials Engineering with a Second Major in Business ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/EGBM.aspx,NTU.png
NTU,Materials Engineering with a Second Major in Entrepreneurship,https://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/SMIE.aspx,NTU.png
NTU,Materials Engineering with a Second Major in Medical Biology ,http://coe.ntu.edu.sg/Programmes/UndergradStudies/Prospective/UG%20DegreeProg/Pages/MedBio.aspx,NTU.png
