Category,Schools,Type,URL,Logo
Arch,ITE College Central,School of Design and Media,https://www.ite.edu.sg/colleges/ite-college-central/facilities/school-of-design-and-media,ite.png
Arch,ITE College East,School of Engineering,https://www.ite.edu.sg/colleges/ite-college-east/facilities/school-of-engineering,ite.png
Arch,National University of Singapore (NYP),School of Design,https://www.nyp.edu.sg/sdn,Nanyang.png
Arch,Ngee Ann Polytechnic (NP),School of Design and Environment,https://www.np.edu.sg/de,Ngeeann.jpg
Arch,Republic Polytechnic (RP),School of Engineering,https://www.rp.edu.sg/School_of_Engineering.aspx,Republic.jpg
Arch,Singapore Polytechnic (SP),School of Architecture and Built Environment,https://www.sp.edu.sg/abe,Singapore.jpg
Arch,Temasek Polytechnic (TP),School of Design,https://www.tp.edu.sg/des,Temasek.png
Arch,Temasek Polytechnic (TP),School of Engineering,https://www.tp.edu.sg/eng,Temasek.png
Arch,Nanyang Technological University (NTU),School of Civil and Environmental Engineering,https://www.cee.ntu.edu.sg,Nanyang.png
Arch,National University of Singapore (NUS),Faculty of Engineering,https://www.eng.nus.edu.sg,NUS.jpg
Arch,National University of Singapore (NUS),Yale NUS College,https://www.sde.nus.edu.sg,NUS.jpg
Arch,National University of Singapore (NUS),School of Design and Engineering,https://www.yale-nus.edu.sg,NUS.jpg
Arch,Singapore University of Technology and Design (SUTD),Architecture and Design Pillar,https://asd.sutd.edu.sg,SUTD.png
Bus,"ITE College Central, East and West",School of Business and Services,https://www.ite.edu.sg/wps/portal/fts_courses_by_school,ite.png
Bus,ITE College West,School of Hospitality,https://www.ite.edu.sg/wps/portal/fts_courses_by_school,ite.png
Bus,Nanyang Polytechnic (NYP),School of Business Management,https://www.nyp.edu.sg/sbm,Nanyang.png
Bus,Ngee Ann Polytechnic (NP),School of Business and Accountancy,https://www.np.edu.sg/ba,Ngeeann.jpg
Bus,Republic Polytechnic (RP),School of Management and Communication,https://www.rp.edu.sg/smc,Republic.jpg
Bus,Republic Polytechnic (RP),School of Hospitality,https://www.rp.edu.sg/soh,Republic.jpg
Bus,Singapore Polytechnic (SP),SP Business School,https://www.sp.edu.sg/wps/portal/vp-spws/schb,Singapore.jpg
Bus,Singapore Polytechnic (SP),School of Mathematics and Science,https://www.sp.edu.sg/ms,Singapore.jpg
Bus,Temasek Polytechnic (TP),School of Business,https://www.tp.edu.sg/bus,Temasek.png
Bus,Nanyang Technological University (NTU),Nanyang Business School,https://www.nbs.ntu.edu.sg,Nanyang.png
Bus,National University of Singapore (NUS),Faculty of Law,https://law.nus.edu.sg,NUS.jpg
Bus,National University of Singapore (NUS),NUS Business School,bschool.https://nus.edu,NUS.jpg
Bus,Singapore Institute of Technology (SIT),Design and Specialised Businesss Cluster,https://www.singaporetech.edu.sg/undergraduate-programmes,SIT.jpg
Des,"ITE College Central, East and West",School of Design and Media,https://www.ite.edu.sg/colleges/ite-college-central/facilities/school-of-design-and-media,ite.png
Des,"ITE College Central, East and West",School of Electronics and Info-comm Technology,https://www.ite.edu.sg/colleges/ite-college-central/facilities/school-of-electronics-and-info-comm-technology,ite.png
Des,Nanyang Polytechnic (NYP),School of Design,https://www.nyp.edu.sg/sdn,Nanyang.png
Des,Nanyang Polytechnic (NYP),School of Interactive and Digital Media,https://www.nyp.edu.sg/sidm,Nanyang.png
Des,Ngee Ann Polytechnic (NP),School of Design and Environment,https://www.np.edu.sg/de,Ngeeann.jpg
Des,Ngee Ann Polytechnic (NP),School of Film and Media Studies,https://www.np.edu.sg/fms,Ngeeann.jpg
Des,Ngee Ann Polytechnic (NP),School of Humanities and Social Sciences,https://www.np.edu.sg/hms,Ngeeann.jpg
Des,Republic Polytechnic (RP),School of Management and Communication,https://www.rp.edu.sg/smc,Republic.jpg
Des,Republic Polytechnic (RP),School of Technology for the Arts,https://www.rp.edu.sg/sta,Republic.jpg
Des,Singapore Polytechnic (SP),"School of Communication, Arts and Social Sciences",https://www.sp.edu.sg/cass,Singapore.jpg
Des,Singapore Polytechnic (SP),SP Design School,https://www.sp.edu.sg/wps/portal/vp-spws/schd,Singapore.jpg
Des,Singapore Polytechnic (SP),School of Digital Media and Infocomm Technology,https://www.sp.edu.sg/dmit,Singapore.jpg
Des,Temasek Polytechnic (TP),School of Design,https://www.tp.edu.sg/des,Temasek.png
Des,Nanyang Technological University (NTU),"School of Art, Design and Media",https://www.adm.ntu.edu.sg,NTU.png
Des,Nanyang Technological University (NTU),Wee Kim Wee School of Communication and Information,https://www.wkwsci.ntu.edu.sg,NTU.png
Des,National University of Singapore (NUS),Faculty of Arts and Social Sciences,https://www.fas.ntu.edu.sg,NUS.jpg
Des,National University of Singapore (NUS),Yong Siew Toh Conservatory of Music,https://www.ystmusic.nus.edu.sg,NUS.jpg
Eng,"ITE College Central, East and West",School of Engineering /,https://www.ite.edu.sg/colleges/ite-college-east/facilities/school-of-engineering,ite.png
Eng,"ITE College Central, East and West",School of Electronics and InfoComm Technology,https://www.ite.edu.sg/colleges/ite-college-central/facilities/school-of-electronics-and-info-comm-technology,ite.png
Eng,Nanyang Polytechnic (NYP),School of Engineering,https://www.nyp.edu.sg/seg,Nanyang.png
Eng,Ngee Ann Polytechnic (NP),School of Design and Environment,https://www.np.edu.sg/de,Ngeeann.jpg
Eng,Ngee Ann Polytechnic (NP),School of Engineering,https://www.np.edu.sg/soe,Ngeeann.jpg
Eng,Ngee Ann Polytechnic (NP),School of Life Sciences and Chemical Technology,https://www.np.edu.sg/lsct,Ngeeann.jpg
Eng,Republic Polytechnic (RP),School of Engineering,https://www.rp.edu.sg/School_Of_Engineering.aspx ,Republic.jpg
Eng,Singapore Polytechnic (SP),School of Architecture and Built Environment,https://www.sp.edu.sg/abe,Singapore.jpg
Eng,Singapore Polytechnic (SP),School of Chemical and Life Sciences,https://www.sp.edu.sg/cls,Singapore.jpg
Eng,Singapore Polytechnic (SP),School of Electrical and Electronics Engineering,https://www.sp.edu.sg/eee,Singapore.jpg
Eng,Singapore Polytechnic (SP),School of Mechanical and Aeronautical Engineering,https://www.sp.edu.sg/mae,Singapore.jpg
Eng,Singapore Polytechnic (SP),Singapore Martime Academy,https://www.sma.sp.edu.sg,Singapore.jpg
Eng,Temasek Polytechnic (TP),School of Engineering ,https://www.tp.edu.sg/eng,Temasek.png
Eng,Temasek Polytechnic (TP),School of Applied Science,https://www.tp.edu.sg/asc,Temasek.png
Eng,Nanyang Technological University (NTU),School of Civil and Environmental Engineering,https://www.scbe.ntu.edu.sg,NTU.png
Eng,Nanyang Technological University (NTU),School of Materials Science and Engineering,https://www.cee.ntu.edu.sg,NTU.png
Eng,Nanyang Technological University (NTU),School of Chemical and Biomedical Engineering,https://scse.ntu.edu.sg,NTU.png
Eng,Nanyang Technological University (NTU),School of Electrical and Electronic Engineering,https://www.eee.ntu.edu.sg,NTU.png
Eng,Nanyang Technological University (NTU),School of Mechanical and Aerospace Engineering, https://www.mae.ntu.edu.sg,NTU.png
Eng,National University of Singapore (NUS),School of Engineering,https://www.eng.nus.edu.sg,NUS.jpg
Eng,National University of Singapore (NUS),School of Computing,https://www.comp.nus.edu.sg,NUS.jpg
Eng,Singapore University of Technology and Design (SUTD),Engineering Product Development Pillar,https://epd.sutd.edu.sg,SUTD.png
Eng,Singapore University of Technology and Design (SUTD),Engineering Systems and Design Pillar,https://esd.sutd.edu.sg,SUTD.png
Eng,Singapore Institue of Technology (SIT),Engineering Cluster,https://www.singaporetech.edu.sg/undergraduate-programmes,SIT.jpg
Eng,Singapore Institue of Technology (SIT),Chemical Engineering and Food Technology Cluster,https://www.singaporetech.edu.sg/undergraduate-programmes,SIT.jpg
Hum,ITE College East,School of Applied and Health Sciences,https://www.ite.edu.sg/wps/portal/fts_courses_by_school,ite.png
Hum,Ngee Ann Polytechnic (NP),School of Humanities and Social Sciences,https://www.np.edu.sg/hms,Ngeeann.jpg
Hum,Singapore Polytechnic (SP),"School of Communication, Arts and Social Sciences",https://www.sp.edu.sg/cass,Singapore.jpg
Hum,Temasek Polytechnic (TP),School of Humanities and Social Sciences,https://www.tp.edu.sg/hss,Temasek.png
Hum,Nanyang Technological University (NTU),School of Humanities,https://www.soh.ntu.edu.sg,NTU.png
Hum,Nanyang Technological University (NTU),School of Social Sciences,https://www.sss.ntu.edu.sg ,NTU.png
Hum,Nanyang Technological University (NTU),National Institute of Education,https://www.nie.edu.sg,NTU.png
Hum,National University of Singapore (NUS),Faculty of Arts and Social Sciences,https://www.fas.nus.edu.sg,NUS.jpg
Hum,National University of Singapore (NUS),Yale-NUS College,https://www.yale-nus.edu.sg,NUS.jpg
Hum,Singapore Institute of Technology (SIT),Health and Social Sciences Cluster,https://www.singaporetech.edu.sg/undergraduate-programmes,SIT.jpg
Hum,Singapore Management University (SMU),School of Economics,https://economics.smu.edu.sg,SMU.png
Hum,Singapore Management University (SMU),School of Social Sciences,https://socsc.smu.edu.sg,SMU.png
Hum,Singapore University of Social Science (SUSS),School of Humanities and Behavioural Sciences,https://www.suss.edu.sg/about-suss/schools/shbs,SUSS.png
IT,"ITE College Central, East and West",School of Electronics and Info-comm Technology,https://www.ite.edu.sg/wps/portal/fts_courses_by_school,ite.png
IT,Nanyang Polytechnic (NYP),School of Information Technology,https://www.nyp.edu.sg/sit,Nanyang.png
IT,Ngee Ann Polytechnic (NP),School of Infocomm Technology,https://www.np.edu.sg/ict,Ngeeann.jpg
IT,Republic Polytechnic (RP),School of Infocomm,https://www.rp.edu.sg/soi,Republic.jpg
IT,Singapore Polytechnic (SP),School of Digital Media and Infocomm Technology,https://www.sp.edu.sg/dmit,Singapore.jpg
IT,Temasek Polytechnic (TP),School of Informatics and IT,https://www.tp.edu.sg/iit,Temasek.png
IT,Nanyang Technological University (NTU),School of Computer Science and Engineering,https://scse.ntu.edu.sg,NTU.png
