Programme,University,Test,Salary,Link,Image
Bachelor of Accountancy,Nanyang Technological University,94.0,"3,000",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts,National University of Singapore,64.5,"3,200",https://fass.nus.edu.sg,nus_logo.png
Bachelor of Business Administration,National University of Singapore,83.0,"3,600",https://bschool.nus.edu.sg,nus_logo.png
Bachelor of Business,Nanyang Technological University,83.0,"3,600",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Science,National University of Singapore,59.3,"3,100",https://www.science.nus.edu.sg,nus_logo.png
Bachelor of Science Nursing,National University of Singapore,89.1,"3,358",https://www.science.nus.edu.sg,nus_logo.png
Bachelor of Accountancy,Singapore Management University,93.7,"3,050",https://accountancy.smu.edu.sg,smu_logo.png
Bachelor of Accountancy,Singapore University of Social Sciences,83.3,"3,000",https://bschool.nus.edu.sg,nus_logo.png
Bachelor of Accountancy & Bachelor of Business,Nanyang Technological University,95.2,"4,000",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts (Chinese) (Honours),Nanyang Technological University,79.0,"3,210",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts (Economics) (Honours),Nanyang Technological University,79.8,"3,400",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts (Education) ,Nanyang Technological University,100.0,"3,800",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts with Diploma in Education,Nanyang Technological University,100.0,"3,800",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts (English) (Honours),Nanyang Technological University,64.9,"3,000",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts (Honours),National University of Singapore,68.2,"3,500",https://fass.nus.edu.sg,nus_logo.png
Bachelor of Arts (Linguistics and Multilingual Studies) (Honours),Nanyang Technological University,65.0,"3,200",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts (Psychology) (Honours),Nanyang Technological University,73.1,"3,400",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts (Sociology) (Honours),Nanyang Technological University,70.5,"3,300",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Arts with Honours,National University of Singapore,77.0,"3,684",https://fass.nus.edu.sg,nus_logo.png
Bachelor of Business Administration (Accountancy) (Honours),National University of Singapore,97.8,"3,600",https://bschool.nus.edu.sg,nus_logo.png
Bachelor of Business Administration (Honours),National University of Singapore,87.1,"3,934",https://bschool.nus.edu.sg,nus_logo.png
Bachelor of Business Management,Singapore Management University,87.1,"3,934",https://business.smu.edu.sg,smu_logo.png
Bachelor of Communication Studies (Honours),Nanyang Technological University,69.4,"3,200",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Computing (Computer Science),National University of Singapore,90.6,"5,000",https://www.comp.nus.edu.sg,nus_logo.png
Bachelor of Computing (Information Systems),National University of Singapore,95.9,"4,228",https://www.comp.nus.edu.sg,nus_logo.png
Bachelor of Dental Surgery,National University of Singapore,97.3,"4,200",http://www.dentistry.nus.edu.sg,nus_logo.png
Bachelor of Engineering (Aerospace Engineering),Nanyang Technological University,80.7,"3,800",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Engineering (Biomedical Engineering),National University of Singapore,66.1,"3,500",https://www.eng.nus.edu.sg,nus_logo.png
Bachelor of Engineering (Bioengineering),Nanyang Technological University,66.1,"3,500",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Engineering (Chemical & Biomolecular Engineering),Nanyang Technological University,78.1,"3,800",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Engineering (Chemical Engineering),National University of Singapore,86.7,"3,950",https://www.eng.nus.edu.sg,nus_logo.png
Bachelor of Engineering (Civil Engineering),National University of Singapore,91.7,"3,500",https://www.eng.nus.edu.sg,nus_logo.png
Bachelor of Engineering (Civil Engineering),Nanyang Technological University,91.7,"3,500",http://www.ntu.edu.sg,ntu_logo.jpg
Bachelor of Engineering (Computer Science),Nanyang Technological University,95.9,"4,200",http://www.ntu.edu.sg,ntu_logo.jpg
